_ID,NAME,GROUP,DAY/HOUR/ROOM1,DAY/HOUR/ROOM2,DAY/HOUR/ROOM3,PROFESSOR1,PROFESSOR_EMAIL1,PROFESSOR2,PROFESSOR_EMAIL2
0,ADMINISTRACION Y DESARROLLO SUSTENTABLE EN LA INDUSTRIA DEL CURTIDO,A,LUNES/14-15/LAB. DE CURTIDO EDIF. G,"MARTES/8-9/LAB. DE CURTIDO, EDIF. G","VIERNES/16-18/LAB. DE CURTIDO, EDIF. G",JUAN FRANCISCO RAYAS ROJAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
1,ALGEBRA LINEAL,A,LUNES/8-10/F1,MIERCOLES/8-10/F1,,JOSE LUIS LOPEZ PICON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
2,ALGEBRA LINEAL,B,MARTES/8-10/F1,JUEVES/8-10/F1,,JOSE LUIS LOPEZ PICON,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
3,ALGEBRA LINEAL,C,MARTES/10-12/F1,JUEVES/10-12/F1,,MIGUEL ANGEL VALLEJO HERNANDEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
4,ALGEBRA LINEAL,D,MIERCOLES/12-14/F1,VIERNES/12-14/F1,,TEODORO CORDOVA FRAGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
5,ALGEBRA LINEAL,E,LUNES/15-17/G1,MIERCOLES/15-17/G1,,AZARAEL ADONAY YEBRA PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
6,ALGEBRA LINEAL AVANZADA,A,LUNES/17-19/C2,MIERCOLES/17-19/C2,,OWEN PAVEL FERNANDEZ PIEDRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
7,ANALISIS DE CIRCUITOS,A,MARTES/8-10/LAB. DE ELECTRONICA EDIF. G,JUEVES/8-12/LAB. DE ELECTRONICA EDIF. G,,JOSE MARCO BALLEZA ORDAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
8,ANALISIS DE CIRCUITOS,B,LUNES/12-16/LAB. DE ELECTRONICA EDIF.G,MIERCOLES/8-10/LAB. DE ELECTRONICA EDIF. G,,EDUARDO MONTES RAMIREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
9,ANALISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/F5,,,FERNANDO AGUAS ANGEL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
10,ANALISIS MATEMATICO,A,LUNES/17-19/G1,MIERCOLES/17-19/G1,,AZARAEL ADONAY YEBRA PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
11,ANALISIS TENSORIAL,A,MARTES15-17/F8,JUEVES/15-17/F8,,JUAN BARRANCO MONARCA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
12,ANALISIS VECTORIAL,A,LUNES/10-12/F5,MIERCOLES/12-14/G1,,OWEN PAVEL FERNANDEZ PIEDRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
13,ANALISIS VECTORIAL,B,LUNES/10-12/F9,JUEVES/10-12/F9,,AZARAEL ADONAY YEBRA PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
14,ANALISIS VECTORIAL,C,MARTES/15-17/F6,JUEVES/15-17/F6,,MARIA DEL ALBA PACHECO BLAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
15,ANATOMIA Y FISIOLOGIA I,A,LUNES/8-10/C2,MIERCOLES/8-10/C2,,JOSE FIDEL BAIZABAL CARVALLO,"THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT., THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.",,
16,ANATOMIA Y FISIOLOGIA II,A,MARTES/8-10/C2,JUEVES/8-10/C3,,VICTOR HUGO HERNANDEZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
17,ARQUITECTURA DE MICROCONTROLADORES,A,MARTES/10-14/LAB. DE ELECTRONICA EDIF. G,JUEVES/12-14/LAB. DE ELECTRONICA EDIF. G,,CARLOS VILLASENOR MORA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
18,BALANCE DE MATERIA Y ENERGIA,A,LUNES/12-14/F8,MIERCOLES/12-14/AUDITORIO EDIF. B,,JOSE ANTONIO REYES AGUILERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
19,BALANCE DE MATERIA Y ENERGIA,B,MIERCOLES/15-17/F5,VIERNES/15-17/F5,,CARLOS EDUARDO MOLINA GUERRERO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
20,BIOESTADISTICA,A,LUNES/10-12/C2,JUEVES/10-12/LAB. DE ELECTRONICA EDIF. D (AULA),,TEODORO CORDOVA FRAGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
21,BIOFISICA,A,LUNES/15-17/LAB. DE BIOLOGIA EDIF. G,MIERCOLES/15-17/LAB. DE BIOLOGIA EDIF. G,,JOSE DE JESUS BERNAL ALVARADO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
22,BIOFISICA MEDICA,A,MARTES/10-12/C2,VIERNES/10-12/LAB. DE ELECTRONICA EDIF. D (AULA),,MODESTO ANTONIO SOSA AQUINO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,VICTOR HUGO HERNANDEZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
23,BIOLOGIA CELULAR,A-I,MARTES/15-18/LAB. DE BIOLOGIA EDIF. G,JUEVES/15-18/LAB. DE BIOLOGIA EDIF. G,,SILVIA ALEJANDRA LOPEZ JUAREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
24,BIOLOGIA CELULAR,B-II,MARTES/12-15/LAB. DE BIOLOGIA EDIF. G,JUEVES/12-15/LAB. DE BIOLOGIA EDIF. G,,GUSTAVO BASURTO ISLAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
25,BIOMECANICA,A,"LUNES/12-16/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C","MIERCOLES/12-14/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C",,ARGELIA ROSILLO DE LA TORRE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
26,BIOMECANICA,B,"MIERCOLES/8-12/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C","MIERCOLES/12-14/ANTIGUO LAB. DE BIOMATERIALES, EDIF. C",,ARTURO VEGA GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
27,BIOQUIMICA,A-I,MIERCOLES/10-12/C2,VIERNES/8-9/LAB. DE BIOLOGIA EDIF. G,VIERNES/9-12/LAB. DE BIOLOGIA EDIF. G,LAURA EDITH CASTELLANO TORRES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
28,BIOSEGURIDAD,A,MARTES/8-10/LAB. DE BIOLOGIA EDIF. G,JUEVES/8-10/LAB DE BIOLOGIA EDIF. G,,ARGELIA ROSILLO DE LA TORRE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
29,CALCULO DE VARIAS VARIABLES,A,MARTES/8-10/F8,JUEVES/8-10/F8,,NANA GERALDINE CABO BIZET,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
30,CALCULO DE VARIAS VARIABLES,B,LUNES/15-17/F8,MIERCOLES/15-17/F8,,MANUEL MARTINEZ JIMENEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
