UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
ADMINISTRACIÓN Y DESARROLLO SUSTENTABLE EN LA INDUSTRIA DEL CURTIDO,A, LUNES/14-15/LAB. DE CURTIDO EDIF. G,"MARTES/8-9/LAB. DE CURTIDO, EDIF. G","VIERNES/16-18/LAB. DE CURTIDO, EDIF. G",JUAN FRANCISCO RAYAS ROJAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ALGEBRA LINEAL,A,LUNES/8-10/F1,MIÉRCOLES/8-10/F1, ,JOSÉ LUIS LÓPEZ PICÓN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÁLGEBRA LINEAL,B,MARTES/8-10/F1,JUEVES/8-10/F1, ,JOSÉ LUIS LÓPEZ PICÓN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÁLGEBRA LINEAL,C,MARTES/10-12/F1,JUEVES/10-12/F1, ,MIGUEL ÁNGEL VALLEJO HERNÁNDEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÁLGEBRA LINEAL,D,MIÉRCOLES/12-14/F1,VIERNES/12-14/F1, ,TEODORO CÓRDOVA FRAGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÁLGEBRA LINEAL,E,LUNES/15-17/G1,MIÉRCOLES/15-17/G1, ,AZARAEL ADONAY YEBRA PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ÁLGEBRA LINEAL AVANZADA,A,LUNES/17-19/C2,MIÉRCOLES/17-19/C2, ,OWEN PAVEL FERNÁNDEZ PIEDRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS DE CIRCUITOS,A,MARTES/8-10/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/8-12/LAB. DE ELECTRÓNICA EDIF. G, ,JOSÉ MARCO BALLEZA ORDAZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS DE CIRCUITOS,B,LUNES/12-16/LAB. DE ELECTRÓNICA EDIF.G,MIÉRCOLES/8-10/LAB. DE ELECTRÓNICA EDIF. G, ,EDUARDO MONTES RAMÍREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS DE LA CULTURA MEXICANA,A,LUNES/16-19/F5, , ,FERNANDO AGUAS ÁNGEL,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS MATEMÁTICO,A,LUNES/17-19/G1,MIÉRCOLES/17-19/G1, ,AZARAEL ADONAY YEBRA PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS TENSORIAL,A,MARTES15-17/F8,JUEVES/15-17/F8, ,JUAN BARRANCO MONARCA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS VECTORIAL,A,LUNES/10-12/F5,MIÉRCOLES/12-14/G1, ,OWEN PAVEL FERNÁNDEZ PIEDRA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS VECTORIAL,B,LUNES/10-12/F9,JUEVES/10-12/F9, ,AZARAEL ADONAY YEBRA PÉREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANÁLISIS VECTORIAL,C,MARTES/15-17/F6,JUEVES/15-17/F6, ,MARÍA DEL ALBA PACHECO BLAS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ANATOMÍA Y FISIOLOGÍA I,A,LUNES/8-10/C2,MIÉRCOLES/8-10/C2, ,JOSÉ FIDEL BAIZABAL CARVALLO,"This email address is being protected from spambots. You need JavaScript enabled to view it., This email address is being protected from spambots. You need JavaScript enabled to view it.", , 
ANATOMÍA Y FISIOLOGÍA II,A,MARTES/8-10/C2,JUEVES/8-10/C3, ,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ARQUITECTURA DE MICROCONTROLADORES,A,MARTES/10-14/LAB. DE ELECTRÓNICA EDIF. G,JUEVES/12-14/LAB. DE ELECTRÓNICA EDIF. G, ,CARLOS VILLASEÑOR MORA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
